Date,Instrument,"Return on Average Common Equity - %, TTM","Return on Average Total Assets - %, Annualized"
9/30/2024,DELTA.BK,30.38373205,20.06170781
6/30/2024,DELTA.BK,31.68352909,22.88191602
3/31/2024,DELTA.BK,29.10163011,15.48152432
12/31/2023,DELTA.BK,30.14693861,17.2026379
9/30/2023,DELTA.BK,30.93260442,20.52014041
6/30/2023,DELTA.BK,31.620872,18.96958874
3/31/2023,DELTA.BK,31.72556005,15.46119553
12/31/2022,DELTA.BK,31.9398364,18.72982793
9/30/2022,DELTA.BK,29.0762786,20.01649877
