,Instrument,"Return on Average Common Equity - %, Annualized",Date,"Return on Average Total Assets - %, Annualized",Date
0,UVAN.BK,4.33205602682839,2024-12-31,4.07353209034541,2024-12-31
1,UVAN.BK,34.2534460916737,2024-09-30,29.0875844784301,2024-09-30
2,UVAN.BK,57.1942671730788,2024-06-30,48.16903455224,2024-06-30
3,UVAN.BK,12.7789845216347,2024-03-31,11.9513013627196,2024-03-31
4,UVAN.BK,12.9440926163182,2023-12-31,11.4703555286884,2023-12-31
5,UVAN.BK,15.9959382369176,2023-09-30,14.2280185766325,2023-09-30
6,UVAN.BK,19.2443398468255,2023-06-30,17.432784404003,2023-06-30
7,UVAN.BK,34.6944725648675,2023-03-31,28.9549707181951,2023-03-31
8,UVAN.BK,33.9664796338832,2022-12-31,27.2492778603234,2022-12-31
